,aperture1,aperture3,aperture4,aperture5,aperture6,aperture7,tongue1,tongue3,tongue4,tongue5,lip0,lip1,oral0,oral1
jp[a],0,0,0,0,0,1,0,1,0,0,1,0,1,0
jp[i],1,0,0,0,0,0,1,0,0,0,1,0,1,0
jp[_],1,0,0,0,0,0,0,0,1,0,1,0,1,0
jp[e],0,0,1,0,0,0,1,0,0,0,1,0,1,0
jp[o],0,0,1,0,0,0,0,0,0,1,0,1,1,0
fr[i],1,0,0,0,0,0,1,0,0,0,1,0,1,0
fr[e],0,1,0,0,0,0,1,0,0,0,1,0,1,0
fr[_],0,0,0,1,0,0,1,0,0,0,1,0,1,0
fr[a],0,0,0,0,0,1,0,1,0,0,1,0,1,0
fr[y],1,0,0,0,0,0,1,0,0,0,0,1,1,0
fr[_],0,1,0,0,0,0,1,0,0,0,0,1,1,0
fr[_],0,0,0,1,0,0,1,0,0,0,0,1,1,0
fr[_],0,0,1,0,0,0,0,1,0,0,1,0,1,0
fr[u],1,0,0,0,0,0,0,0,0,1,0,1,1,0
fr[o],0,1,0,0,0,0,0,0,0,1,0,1,1,0
fr[_],0,0,0,1,0,0,0,0,0,1,0,1,1,0
fr[__],0,0,0,0,0,1,0,0,0,1,1,0,0,1
fr[__],0,0,0,0,1,0,1,0,0,0,1,0,0,1
fr[__],0,1,0,0,0,0,0,0,0,1,0,1,0,1
