informant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
i,_,_,_,y,_,_,_,_,y,_,_,_,_,_,_,_,e,_,_,_,_,_,_,_,e,_,_,_,_,_,_,e,_,_,_,_,_,_,_,_,_,_,_,_,_,y,_,_,_,e,_,_,_
e,i,i,_,u,_,_,i,_,_,_,_,_,i,_,_,_,_,_,_,_,_,_,_,_,i,_,_,i,_,_,_,i,_,_,_,_,_,_,i,_,i,_,_,_,_,_,_,_,_,_,"i, _",_,i
_,_,_,_,_,_,_,_,_,_,_,_,_,e,_,_,e,_,_,_,,_,_,_,_,_,_,_,_,_,e,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,e,_,_,_,_
a,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
y,_,_,u,u,_,_,_,_,_,_,i,_,_,u,_,_,u,_,u,u,u,_,u,e,_,u,_,u,u,_,_,_,_,_,u,u,_,_,u,_,_,_,_,u,_,i,u,_,,_,_,u,u
_,_,_,_,_,_,_,_,_,u,_,y,_,_,_,_,_,_,u,_,u,_,_,_,_,_,_,_,_,_,_,_,u,u,_,_,_,_,_,"_, _",y,_,_,_,_,_,u,_,_,_,_,_,u,_
_,_,_,_,_,_,_,_,_,_,_,_,_,,_,_,_,_,o,_,u,_,_,_,_,_,u,_,_,_,,_,_,_,_,_,_,_,_,_,_,_,u,_,_,_,a,_,_,_,_,_,_,_
_,_,_,u,u,_,_,_,_,_,_,_,_,_,_,_,_,_,u,_,u¡B_,_,_,_,_,_,_,_,_,u,_,_,u,_,_,e,_,_,_,_,_,_,u,_,_,_,u,_,_,_,_,_,_,_
u,o,_,_,o,y,_,_,o,_,_,_,_,y,_,_,o,_,_,_,_,_,_,_,_,o,y,_,y,_,o,o,_,_,_,o,o,_,o,_,o,_,_,_,_,_,_,_,_,_,_,o,_,_
o,_,_,_,_,_,_,_,_,_,_,_,u,_,_,u,_,_,_,_,_,_,_,_,_,u,_,_,_,_,_,u,_,_,_,_,_,u,_,_,_,_,_,_,_,_,_,_,_,_,_,u,_,_
_,_,_,_,a,a,_,a,__,_,_,_¡B_,o,__,_,_,__,_,o,_,o,_,_,_,_,_,_,__,_,_,__,_,_,_,_,_,_,_,o,_,_,_,_,__,__,_,_,_,_,_,_,_,o,_
__,__,__,_,__,__,_,__,__,a,__,__,,_,__,__,__,_,_,__,_,__,__,__,a,_,__,_,,__,_,__,_,__,_,a,_,_,__,,_,__,__,o,o,_,__,__,a,__,a,_,__,a
__,__,__,_,__,__,_,__,__,_,__,_,__,a,__,e,__,_,_,_,_,_,__,__,_,_¡B_,__,_,,__,__,__,_,_,_,_,_,_,__,,_,__,__,_,_,_,_,__,__,_,__,__,__,_
__,__,_,o,_,o,_,__,__,o,__,__,o,o,__,_,__,_,_,_,_,__,__,__,o,_,_,o,,o,_,_,_,__,_,_,o,o,__,,o,__,_,_,_,_,o,o,o,__,o,_,__,o
